filename,filename_path,xmin,ymin,xmax,ymax,w,h,label_txt,label
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,51,9,57,18,6,9,6,7
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,58,11,66,16,8,5,-,11
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,66,9,75,18,9,9,0,1
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,75,10,81,20,6,10,1,2
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,80,12,90,16,10,4,-,11
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,89,10,97,20,8,10,2,3
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,98,9,104,20,6,11,0,1
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,104,10,110,20,6,10,2,3
C_100,../../01.Datasets/processed/images_train/fechas/C_100.jpg,110,10,117,20,7,10,1,2
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,38,7,120,19,82,12,date,12
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,39,7,50,18,11,11,2,3
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,49,7,58,19,9,12,1,2
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,56,10,62,15,6,5,-,11
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,63,7,72,18,9,11,0,1
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,72,7,80,19,8,12,5,6
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,80,10,89,13,9,3,-,11
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,89,7,97,18,8,11,2,3
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,97,7,106,19,9,12,0,1
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,106,7,114,19,8,12,2,3
C_101,../../01.Datasets/processed/images_train/fechas/C_101.jpg,113,7,119,19,6,12,1,2
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,40,2,119,14,79,12,date,12
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,42,1,52,13,10,12,2,3
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,50,1,58,13,8,12,1,2
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,58,6,64,11,6,5,-,11
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,63,3,72,14,9,11,0,1
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,72,3,80,13,8,10,4,5
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,80,6,88,10,8,4,-,11
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,89,1,97,13,8,12,2,3
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,98,2,104,14,6,12,0,1
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,106,1,113,13,7,12,2,3
C_104,../../01.Datasets/processed/images_train/fechas/C_104.jpg,113,2,119,14,6,12,1,2
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,33,6,123,18,90,12,date,12
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,36,7,47,18,11,11,0,1
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,46,7,54,18,8,11,1,2
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,53,10,60,15,7,5,-,11
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,60,6,69,17,9,11,0,1
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,69,7,78,19,9,12,3,4
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,77,11,86,17,9,6,-,11
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,86,6,94,17,8,11,2,3
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,94,6,103,18,9,12,0,1
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,102,6,113,18,11,12,2,3
C_107,../../01.Datasets/processed/images_train/fechas/C_107.jpg,112,6,120,17,8,11,1,2
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,42,7,121,18,79,11,date,12
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,42,7,52,18,10,11,2,3
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,52,7,60,19,8,12,4,5
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,60,9,68,14,8,5,-,11
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,66,7,75,18,9,11,0,1
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,75,7,83,18,8,11,6,7
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,83,9,91,14,8,5,-,11
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,91,7,100,18,9,11,2,3
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,100,7,107,18,7,11,0,1
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,106,7,114,18,8,11,2,3
C_108,../../01.Datasets/processed/images_train/fechas/C_108.jpg,115,7,121,18,6,11,1,2
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,36,8,122,18,86,10,date,12
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,37,8,48,18,11,10,2,3
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,46,8,55,18,9,10,3,4
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,55,10,63,15,8,5,-,11
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,62,8,73,18,11,10,0,1
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,72,7,80,18,8,11,2,3
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,81,10,89,15,8,5,-,11
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,92,8,100,18,8,10,2,3
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,100,8,109,19,9,11,0,1
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,109,9,116,19,7,10,2,3
C_109,../../01.Datasets/processed/images_train/fechas/C_109.jpg,116,8,121,18,5,10,1,2
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,44,9,130,19,86,10,date,12
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,45,9,56,18,11,9,0,1
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,55,9,64,19,9,10,6,7
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,65,11,71,15,6,4,-,11
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,72,9,80,19,8,10,0,1
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,80,9,90,20,10,11,5,6
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,92,11,100,16,8,5,-,11
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,100,9,108,19,8,10,2,3
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,109,9,115,19,6,10,0,1
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,116,9,122,19,6,10,2,3
C_112,../../01.Datasets/processed/images_train/fechas/C_112.jpg,123,8,130,19,7,11,1,2
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,42,8,120,20,78,12,date,12
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,41,8,49,20,8,12,1,2
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,49,7,57,21,8,14,4,5
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,55,11,64,16,9,5,-,11
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,63,9,72,19,9,10,0,1
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,72,9,80,20,8,11,7,8
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,80,11,89,15,9,4,-,11
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,87,9,95,19,8,10,2,3
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,94,9,103,20,9,11,0,1
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,103,8,111,20,8,12,2,3
C_113,../../01.Datasets/processed/images_train/fechas/C_113.jpg,111,9,120,20,9,11,1,2
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,48,5,138,15,90,10,date,12
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,47,5,55,16,8,11,1,2
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,55,5,63,16,8,11,5,6
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,65,9,71,13,6,4,-,11
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,72,6,80,16,8,10,0,1
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,80,5,89,17,9,12,3,4
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,90,9,96,13,6,4,-,11
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,102,6,112,16,10,10,2,3
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,111,5,122,16,11,11,0,1
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,123,5,131,15,8,10,2,3
C_114,../../01.Datasets/processed/images_train/fechas/C_114.jpg,131,5,139,16,8,11,1,2
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,36,6,139,18,103,12,date,12
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,36,6,48,19,12,13,2,3
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,48,6,58,19,10,13,0,1
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,58,10,67,15,9,5,-,11
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,68,6,78,18,10,12,0,1
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,77,6,87,19,10,13,5,6
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,89,10,97,15,8,5,-,11
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,100,6,109,18,9,12,2,3
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,108,7,118,18,10,11,0,1
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,119,7,130,18,11,11,2,3
C_116,../../01.Datasets/processed/images_train/fechas/C_116.jpg,128,6,138,18,10,12,1,2
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,42,6,150,18,108,12,date,12
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,43,6,52,21,9,15,1,2
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,53,6,64,21,11,15,4,5
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,65,10,75,15,10,5,-,11
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,75,7,87,19,12,12,0,1
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,87,7,99,18,12,11,5,6
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,98,9,106,14,8,5,-,11
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,107,7,118,18,11,11,2,3
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,118,6,129,17,11,11,0,1
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,129,6,138,17,9,11,2,3
C_118,../../01.Datasets/processed/images_train/fechas/C_118.jpg,140,6,148,17,8,11,1,2
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,36,3,143,14,107,11,date,12
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,37,4,46,15,9,11,2,3
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,46,3,55,14,9,11,0,1
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,57,6,66,11,9,5,-,11
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,65,3,77,14,12,11,0,1
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,77,3,87,14,10,11,3,4
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,88,6,97,11,9,5,-,11
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,99,3,108,14,9,11,2,3
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,109,3,117,14,8,11,0,1
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,118,4,130,13,12,9,2,3
C_119,../../01.Datasets/processed/images_train/fechas/C_119.jpg,131,3,140,14,9,11,1,2
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,34,9,112,20,78,11,date,12
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,34,9,44,19,10,10,2,3
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,43,9,52,20,9,11,7,8
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,52,12,59,16,7,4,-,11
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,58,9,66,19,8,10,0,1
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,66,9,75,19,9,10,4,5
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,74,12,82,16,8,4,-,11
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,81,10,89,20,8,10,2,3
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,90,9,96,20,6,11,0,1
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,96,10,103,20,7,10,2,3
C_12,../../01.Datasets/processed/images_train/fechas/C_12.jpg,103,9,111,20,8,11,1,2
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,42,11,144,20,102,9,date,12
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,43,12,52,21,9,9,2,3
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,52,11,60,21,8,10,2,3
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,61,14,68,19,7,5,-,11
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,69,11,79,21,10,10,0,1
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,81,11,92,21,11,10,3,4
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,93,12,104,18,11,6,-,11
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,104,12,115,20,11,8,2,3
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,114,11,123,20,9,9,0,1
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,124,11,135,20,11,9,2,3
C_120,../../01.Datasets/processed/images_train/fechas/C_120.jpg,134,11,143,21,9,10,1,2
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,51,10,62,20,11,10,1,2
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,62,10,74,20,12,10,4,5
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,74,12,85,18,11,6,-,11
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,89,10,101,19,12,9,0,1
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,102,9,112,20,10,11,4,5
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,113,11,124,17,11,6,-,11
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,127,9,137,20,10,11,2,3
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,51,9,162,21,111,12,date,12
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,136,9,147,20,11,11,0,1
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,146,10,155,20,9,10,2,3
C_121,../../01.Datasets/processed/images_train/fechas/C_121.jpg,155,9,161,19,6,10,1,2
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,36,11,47,20,11,9,2,3
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,48,12,58,20,10,8,0,1
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,60,12,69,18,9,6,-,11
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,73,11,83,20,10,9,0,1
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,85,12,95,20,10,8,4,5
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,96,12,107,18,11,6,-,11
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,113,10,124,19,11,9,2,3
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,125,10,136,19,11,9,0,1
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,137,10,145,19,8,9,2,3
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,147,10,153,19,6,9,1,2
C_122,../../01.Datasets/processed/images_train/fechas/C_122.jpg,37,10,154,21,117,11,date,12
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,37,10,48,19,11,9,2,3
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,52,10,59,18,7,8,2,3
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,61,10,70,18,9,8,-,11
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,73,9,84,18,11,9,0,1
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,85,10,94,19,9,9,2,3
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,97,10,106,17,9,7,-,11
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,110,9,120,18,10,9,2,3
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,120,10,128,18,8,8,0,1
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,129,10,138,17,9,7,2,3
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,140,9,148,17,8,8,1,2
C_124,../../01.Datasets/processed/images_train/fechas/C_124.jpg,37,8,150,19,113,11,date,12
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,35,12,43,22,8,10,1,2
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,45,12,56,21,11,9,7,8
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,59,12,70,18,11,6,-,11
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,72,11,84,20,12,9,0,1
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,85,12,94,20,9,8,6,7
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,97,12,106,17,9,5,-,11
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,116,11,125,20,9,9,2,3
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,126,12,134,19,8,7,0,1
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,136,12,147,20,11,8,2,3
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,148,10,158,19,10,9,1,2
C_125,../../01.Datasets/processed/images_train/fechas/C_125.jpg,36,11,160,23,124,12,date,12
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,39,10,50,20,11,10,4,5
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,52,11,65,17,13,6,-,11
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,67,10,78,19,11,9,2,3
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,79,10,90,19,11,9,8,9
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,90,10,101,15,11,5,-,11
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,99,10,111,18,12,8,2,3
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,112,10,121,18,9,8,0,1
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,123,10,131,18,8,8,2,3
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,133,10,143,18,10,8,1,2
C_128,../../01.Datasets/processed/images_train/fechas/C_128.jpg,39,10,142,20,103,10,date,12
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,30,8,112,19,82,11,date,12
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,32,9,41,18,9,9,2,3
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,41,9,49,18,8,9,6,7
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,49,12,56,18,7,6,-,11
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,55,9,63,19,8,10,0,1
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,63,8,72,18,9,10,6,7
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,72,12,79,19,7,7,-,11
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,80,8,89,18,9,10,2,3
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,89,8,97,19,8,11,0,1
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,97,8,105,19,8,11,2,3
C_13,../../01.Datasets/processed/images_train/fechas/C_13.jpg,104,8,111,19,7,11,1,2
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,45,10,55,19,10,9,0,1
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,55,10,63,19,8,9,7,8
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,66,11,75,16,9,5,-,11
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,76,10,87,18,11,8,0,1
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,88,10,97,18,9,8,7,8
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,100,11,108,16,8,5,-,11
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,111,9,121,17,10,8,2,3
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,121,9,132,18,11,9,0,1
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,132,10,140,18,8,8,2,3
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,140,10,149,17,9,7,1,2
C_130,../../01.Datasets/processed/images_train/fechas/C_130.jpg,43,9,150,21,107,12,date,12
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,45,5,56,14,11,9,0,1
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,58,5,66,14,8,9,8,9
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,69,6,77,11,8,5,-,11
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,80,4,89,13,9,9,0,1
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,89,4,97,13,8,9,3,4
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,100,4,110,9,10,5,-,11
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,114,1,123,10,9,9,2,3
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,126,3,134,10,8,7,0,1
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,135,3,143,10,8,7,2,3
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,145,2,153,11,8,9,1,2
C_131,../../01.Datasets/processed/images_train/fechas/C_131.jpg,46,2,152,15,106,13,date,12
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,34,10,45,19,11,9,2,3
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,47,9,59,18,12,9,9,10
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,61,10,67,16,6,6,-,11
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,70,9,81,17,11,8,0,1
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,80,9,90,18,10,9,5,6
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,94,10,103,13,9,3,-,11
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,107,8,118,17,11,9,2,3
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,119,8,128,15,9,7,0,1
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,128,8,137,17,9,9,2,3
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,140,8,148,17,8,9,1,2
C_132,../../01.Datasets/processed/images_train/fechas/C_132.jpg,35,8,150,20,115,12,date,12
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,49,0,63,11,14,11,2,3
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,62,0,73,11,11,11,3,4
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,75,1,83,7,8,6,-,11
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,86,0,95,8,9,8,0,1
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,94,1,105,9,11,8,5,6
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,107,0,118,5,11,5,-,11
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,120,0,128,8,8,8,2,3
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,129,1,137,7,8,6,0,1
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,138,1,146,6,8,5,2,3
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,149,1,155,7,6,6,1,2
C_134,../../01.Datasets/processed/images_train/fechas/C_134.jpg,48,1,156,13,108,12,date,12
C_136,../../01.Datasets/processed/images_train/fechas/C_136.jpg,36,10,42,19,6,9,1,2
C_136,../../01.Datasets/processed/images_train/fechas/C_136.jpg,44,10,51,19,7,9,2,3
C_136,../../01.Datasets/processed/images_train/fechas/C_136.jpg,52,12,61,15,9,3,-,11
C_136,../../01.Datasets/processed/images_train/fechas/C_136.jpg,64,10,76,18,12,8,0,1
C_136,../../01.Datasets/processed/images_train/fechas/C_136.jpg,76,10,82,18,6,8,1,2
